# Unicode compatibility normalization table.
# Format: <source>\t<replacement>
#
# Kangxi Radicals
# U+2F00–U+2FD5 (214 entries) mapped to ordinary CJK ideographs.
# Useful when radical code points appear in ordinary CJK text.
#
⼀	一
邜	卯
郷	鄉
鄕	鄉
鄷	酆
鄼	酇
醸	釀
錬	鍊
鎻	鎖
鐡	鐵
鑚	鑽
閠	閏
隂	陰
隠	隱
隣	鄰
隷	隸
靣	面
頥	頤
頺	頹
頼	賴
顚	顛
飮	飲
餠	餅
騈	駢
髙	高
髪	髮
鼔	鼓
龺	𠦝
𠀋	丈
𠁊	爽
𠂻	衷
𠉀	候
𠊱	候
𠑗	㒨
𠑽	充
𠕂	再
𠕋	冊
𠩄	所
𠫵	參
𠰥	若
𠰸	咽
𡈽	土
𡎖	塤
𡨋	冥
𡨕	冥
𡨚	冤
𡨜	寂
𡨥	寇
𡩋	寧
𡫞	踰
𡮢	嘗
𡵯	步
𡸁	垂
𡻕	歲
𢃄	帶
𢊸	廩
𢑱	彝
𢑴	彝
𢕄	微
𢖍	衡
𢦙	或
𢷤	擯
𢻻	啓
𣆨	鼠
𣔕	𠓲
𣪩	殺
𣱵	永
𣳚	沒
𣴑	流
𣵀	涅
𣶬	涵
𤇆	烟
𤈎	㶷
𤑕	爋
𤓰	瓜
𤕤	爽
𤣥	玄
𤤽	珍
𤧩	𤦼
𤨏	瑣
𤱈	畝
𤲢	留
𤼵	發
𥠺	蒀
𥧌	寐
𥨥	竄
𦄲	縮
𦔳	助
𦕻	聰
𦢤	臢
𦬆	芒
𧅄	虁
𧅰	護
𧥙	𣁀
𧫲	諞
𧺫	起
𨇃	躦
𨓜	逸
𨕞	遷
𨹓	降
𨽻	隸
𨽾	隸
𪇔	鷀
𪜭	個
𪡌	咨
𪧐	宿
𫑗	卯
𫞟	為
𫠦	所
𫮰	墻
𭁵	寇
𮡯	鉚
𱄔	駰

# Punctuation and symbols
# Compatibility-like punctuation and symbol forms found in extracted text.
#
〈	〈
〉	〉
# Optional: U+2E3A TWO-EM DASH -> U+2014 EM DASH.
# ⸺	—

# Additional punctuation forms
‧	·
︰	：
﹐	，
﹑	、
﹔	；
﹕	：
﹖	？
﹗	！
